Name,Price,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
1/2 lb.* Cheesy Potato Burrito,306,540,230,26,7,1,45,1360,59,7,4,19
1/2 lb.* Combo Burrito,408,460,170,18,7,1,45,1320,53,9,3,21
7-Layer Burrito,319,510,170,19,7,0,20,1090,68,11,4,16
Bean Burrito,165,370,100,11,4,0,5,960,56,9,3,13
Beefy 5-Layer Burrito,216,550,200,22,8,0,35,1270,68,8,5,19
Beefy Fritoså Burrito,128,440,160,18,5,0,20,1030,55,4,3,13
Beefy Mini Quesadilla,128,210,110,12,4,0,25,560,17,3,1,9
Beefy Nacho Griller,191,420,170,19,4.5,0,20,870,49,5,3,12
Black Bean Burrito,229,410,110,12,4,0,10,1100,62,8,3,14
Burrito Supremeå - Chicken,408,390,110,12,5,0,40,1050,52,7,5,19
Cantina Power Bowl - Chicken,639,560,200,22,4,0,60,1520,64,9,4,26
Cantina Power Bowl - Steak,664,580,210,23,4,0,50,1460,66,10,4,27
Cantina Power Bowl - Veggie,639,540,190,21,3,0,10,1310,75,14,4,14
Cantina Power Burrito - Chicken,485,760,240,27,6,0,60,1960,96,12,7,32
Cantina Power Burrito - Steak,511,780,250,28,7,0,50,1900,98,13,7,33
Cantina Power Burrito - Veggie,485,740,230,26,5,0,10,1750,107,17,8,20
Chalupa Supremeå - Chicken,408,340,160,18,4,0,40,530,29,3,4,16
Chalupa Supremeå - Steak,434,340,170,18,4,0,30,570,29,3,4,14
Chalupa Supremeå_Beef,319,370,190,21,5,0,30,570,31,4,4,13
Cheese Quesadilla,319,480,240,27,11,1,50,1000,40,4,3,19
Cheese Roll-Up,128,190,80,9,5,0,20,450,18,2,1,9
Cheesy Bean and Rice Burrito,128,420,160,17,3.5,0,0,930,55,6,4,11
Chicken Quesadilla,434,520,250,28,12,1,75,1210,41,4,3,27
Chicken Soft Taco,229,170,50,6,3,0,30,460,18,1,1,12
Chili Cheese Burrito,216,380,150,17,8,1,35,930,41,5,2,16
Chipotle Crispy Chicken Griller,191,290,170,18,3,0,25,640,22,1,1,9
Cool Ranchå Doritoså Locos Taco,191,160,90,10,3.5,0,25,350,13,2,1,8
Cool Ranchå Doritoså Locos Taco Supreme,242,200,100,12,4.5,0,35,370,15,3,3,9
Crunchwrap Supremeå,383,540,190,21,6,0,30,1110,71,7,7,16
Crunchy Taco,152,170,90,10,4,0,25,290,12,3,1,8
Crunchy Taco Supremeå,216,200,110,12,5,0,35,320,15,3,2,9
Doritoså Cheesy Gordita Crunch - Fiery,191,490,250,28,10,1,55,890,40,5,4,20
Doritoså Cheesy Gordita Crunch - Nacho Cheese,242,490,250,28,10,1,55,880,40,5,5,20
Double Deckerå Taco,242,320,120,14,5,0,25,640,37,7,2,13
DOUBLE DECKERå Taco Supremeå,293,350,140,16,6,0,35,670,40,7,3,14
Double Tostada,204,270,100,11,4,0,15,650,32,8,2,12
Fiesta Taco Salad-Beef,639,780,380,42,10,1,60,1340,74,11,7,26
Fiesta Taco Salad-Chicken,703,720,320,35,7,0,70,1260,70,8,8,32
Fiesta Taco Salad-Steak,767,720,320,36,8,1,55,1340,70,8,8,28
Gordita Supremeå _ Beef,319,300,120,14,5,0,30,550,31,4,6,13
Gordita Supremeå - Chicken,408,270,90,10,4,0,40,510,29,2,6,16
Gordita Supremeå - Steak,434,270,90,11,4,0,30,550,29,2,6,14
Grilled Steak Soft Taco,319,250,130,14,4,0,30,550,19,2,2,11
Loaded Potato Griller,191,470,200,22,6,0,25,1120,55,4,5,13
Mexican Pizza,447,540,270,31,8,1,40,860,47,7,2,20
MexiMeltå,280,270,130,14,7,1,40,740,21,3,2,14
Nacho Cheese Doritoså Locos Tacos,191,170,80,9,4,0,25,340,13,2,1,8
Nacho Cheese Doritoså Locos Tacos Supreme,242,200,100,11,5,0,35,370,15,3,2,9
Nachos BellGrandeå,421,760,360,39,6,0,30,1100,82,13,5,18
Nachos Supreme,319,430,210,23,5,0,30,690,44,7,3,12
Quesarito Beef,332,650,300,34,12,0.5,60,1450,65,6,5,22
Quesarito Chicken,408,620,270,30,10,0,60,1440,64,4,4,24
Quesarito Steak,447,630,280,31,11,0.5,65,1410,64,3,4,25
Shredded Chicken Burrito,357,400,160,18,4.5,0,30,960,45,3,3,16
Shredded Chicken Mini Quesadilla,128,180,70,8,2.5,0,25,540,15,2,1,12
Smothered Burrito - Beef,383,710,320,35,13,1,75,2260,70,10,4,28
Smothered Burrito - Shredded Chicken,511,650,250,28,10,0,70,2230,67,8,4,34
Smothered Burrito - Steak,536,670,260,29,11,0.5,80,2080,68,7,4,35
Soft Taco Supremeå _ Beef,216,230,100,11,5,0,35,530,22,3,3,10
Soft Taco-Beef,152,200,80,9,4,0,25,510,19,3,1,10
Spicy Potato Soft Taco,128,250,120,13,3,0,10,510,28,3,1,6
Spicy Tostada,128,200,90,10,2.5,0,10,440,22,4,1,7
Steak Quesadilla,434,520,250,28,12,1,65,1250,41,4,3,25
Triple Layer Nachos,128,320,140,15,1.5,0,0,600,41,6,2,7
XXL Grilled Stuft Burrito - Beef,511,880,380,42,14,1,75,2020,94,12,6,31
XXL Grilled Stuft Burrito - Chicken,639,830,320,35,11,0,85,1940,91,10,6,37
XXL Grilled Stuft Burrito - Steak,664,820,320,36,12,1,70,2020,91,10,7,33
