,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
A.M. Crunchwrap Bacon,680,380,42,12,0,130,1310,54,4,3,22
A.M. Crunchwrap Sausage,730,430,47,14,0.5,135,1300,54,4,3,21
A.M. Crunchwrap¨ - Steak,650,340,38,11,0.5,140,1240,51,4,3,26
A.M. Grilled Taco - Bacon,230,130,14,5,0,105,580,15,1,1,12
A.M. Grilled Taco - Egg and Cheese,170,80,9,3,0,90,330,15,1,1,7
A.M. Grilled Taco - Sausage,220,130,14,5,0,105,440,15,1,1,9
"Bacon, Egg & Cheese Biscuit Taco",380,200,23,9,0,115,860,29,1,7,15
Breakfast Quesalupa Bacon,560,300,34,12,0.5,130,1160,42,3,3,21
Breakfast Quesalupa Sausage,600,350,39,14,0.5,135,1040,42,3,3,21
Breakfast Stacker,380,170,19,7,0,120,890,38,3,3,16
California A.M. Crunchwrap,630,330,37,11,0,125,1370,52,5,3,22
Cheesy Breakfast Burrito - Bacon,490,250,28,11,0,210,1070,36,3,3,23
Cheesy Breakfast Burrito - Bacon - Fresco Style,380,170,19,6,0,185,930,36,2,3,16
Cheesy Breakfast Burrito - Fiesta Potato,530,250,28,10,0,195,1090,50,4,3,20
Cheesy Breakfast Burrito - Fiesta Potato - Fresco Style,430,170,19,4.5,0,170,950,50,4,3,14
Cheesy Breakfast Burrito - Sausage,470,250,28,11,0,210,930,36,3,2,20
Cheesy Breakfast Burrito - Sausage - Fresco Style,370,170,19,6,0,180,790,36,2,3,14
Cheesy Breakfast Burrito - Steak and Egg,450,210,23,9,0.5,135,960,37,3,2,24
Cheesy Breakfast Burrito - Steak and Egg - Fresco Style,320,100,12,3.5,0,110,800,36,3,3,18
Cinnabon¨ Delightsª 12 Pack,930,480,53,13,2,40,480,104,3,59,9
Cinnabon¨ Delightsª 2 Pack,160,80,9,2,0,5,80,17,0,10,2
Cinnabon¨ Delightsª 4 Pack,310,160,18,4.5,0.5,15,160,35,1,20,3
Country AM Crunchwrap - Sausage,660,360,40,13,0,130,1260,54,4,5,21
Country Grilled Breakfast Burrito - Sausage,390,160,18,5,0,95,920,45,3,5,12
Dressed Egg Taco Bacon,470,230,25,6,0,175,920,41,3,7,20
Dressed Egg Taco Sausage,460,230,25,6,0,175,740,40,3,7,17
Egg and Cheese Biscuit Taco,310,160,17,7,0,100,600,29,1,7,10
Grande Scrambler Burrito - Bacon,680,320,36,9,0,195,1570,68,5,5,22
Grande Scrambler Burrito - Sausage,670,330,36,9,0,195,1410,67,5,5,19
Grande Scrambler Burrito - Steak,670,300,33,9,0,205,1510,68,5,4,26
Grilled Breakfast Burrito - Bacon,350,150,17,5,0,100,880,36,2,3,13
Grilled Breakfast Burrito - Fiesta Potato,340,130,15,3.5,0,85,790,43,3,3,10
Grilled Breakfast Burrito - Sausage,340,150,17,5,0,95,740,36,2,3,11
Hash Brown,170,100,11,1,0,0,260,15,1,0,1
Mini Skillet Bowl,180,100,11,2,0,85,430,16,1,1,5
Naked Egg Taco Bacon,310,190,21,5,0,175,690,15,2,4,14
Naked Egg Taco Sausage,300,190,21,6,0,170,520,15,2,4,12
Sausage and Cheese Biscuit Taco,370,210,23,10,0,35,640,29,1,7,11
Sausage Flatbread Melt,300,150,17,6,0,25,410,27,2,3,11
Sausage Flatbread Quesadilla,240,90,10,3,0,90,380,27,1,3,10
"Sausage, Egg and Cheese Biscuit Taco",430,250,28,11,0,120,740,30,1,7,14
